ssid,logs
CCO.Cn1cc([N+](=O)[O-])c(=O)[nH]c1=O,-2.17
CC(C)=O.COC(=O)c1n[nH]n(C)c1=O,-0.96
O.CCCCOC(=O)NS(N)(=O)=O,-1.04
CCO.CC(=O)Oc1ccccc1C(=O)O,0.12
CCO.CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,-0.06
CCO.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,-1.71
c1ccccc1.CCOC(=O)NC1CC2CC[C@]1(C)C2(C)C,-1.17
O.CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27
CC(C)=O.Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],0.49
O.O=[N+]([O-])c1cccc2ccccc12,-3.59
CCO.O=C1C=C(Br)C(=O)C(Br)=C1,-1.25
CC(C)=O.O[C@@H]1CCC[C@@H](O)C1,-0.17
O.CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-3.79
c1ccccc1.NC(=O)C(Br)(Br)Cc1ccccc1,-1.01
O.OC1CC(O)C(O)C(O)C1O,-0.17
CCO.NC(Cc1c[nH]c2ccccc12)C(=O)O,-3.32
CCO.CCCCCCCCCCCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-3.28
c1ccccc1.Cc1ccccc1C(=O)O,-0.14
c1ccccc1.C(C=CC=Cc1ccccc1)=CC=Cc1ccccc1,-2.33
CC(C)=O.O=C(O)/C=C/C(=O)O,-1.10
O.Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62
CCO.NC(=O)NC(=O)OCCc1ccccc1,-2.42
CCO.CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C,-1.70
O.Cc1ccc2cc3ccccc3cc2c1,-6.96
O.CCCCCC(C)C,-5.08
CCO.O=[N+]([O-])c1ccc2nc(/N=N/c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c1,-3.70
CC(C)=O.CCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,-1.56
O.O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,-0.40
O.CN(C)C(=O)SCCCCOc1ccccc1,-3.93
CCO.Cc1ccc2cc(C(=O)O)c(=O)oc2c1,-1.66
O.CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,-4.33
c1ccccc1.O=C(O)[C@@H](Br)[C@@H](Br)c1ccccc1,-1.57
c1ccccc1.O=c1c2ccccc2c2c3c1cccc3c1cccc3c(=O)c4ccccc4c2c31,-2.19
c1ccccc1.Nc1ccccc1[N+](=O)[O-],0.01
c1ccccc1.O=C(O)c1c(Br)cccc1Br,-0.78
CCO.C(=NNc1ccccc1)c1ccccc1,-1.14
c1ccccc1.Cc1ccc(/N=C(\Nc2ccc(C)cc2)N(c2ccc(C)cc2)c2nc3cc(C)ccc3[nH]2)cc1,-1.56
O.C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.51
O.C#CCCCCCC,-3.66
O.Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95
c1ccccc1.COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,-0.89
c1ccccc1.Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.46
CC(C)=O.OC1CCN2Cc3ccccc3N=C12,-1.97
CC(C)=O.Nc1nc(N)nc(N)n1,-2.62
O.Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],-2.60
O.N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
CC(C)=O.Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],-1.50
O.CC(C)C(=O)O,0.28
O.O=C(O)c1ccccc1[N+](=O)[O-],-1.47
CC(C)=O.c1ccc2cc3ccccc3cc2c1,-1.34
c1ccccc1.O=C(O)/C=C/c1ccco1,-1.08
c1ccccc1.CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,-0.50
O.c1cnc2ncncc2n1,0.02
O.Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.80
O.CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,-1.30
CCO.CC(=O)N(CCC(=O)O)C(C)C(=O)O,-0.07
O.Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-7.83
CC(C)=O.CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1.80
CC(C)=O.CCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-2.29
CCO.CC(=O)Nc1ccc(Cl)cc1Cl,-0.79
CCO.Cc1ccc2c(c1)C(=O)c1cc(C(=O)O)ccc1C2=O,-2.08
CCO.O=C1COCCO1,0.85
CCO.CCCCCCCCCOC(=O)NC(N)=O,-2.28
c1ccccc1.CC[C@@]1(c2ccccc2)NC(=O)NC1=O,-3.01
c1ccccc1.CCCCCCCCC(CC)(CC)C(=O)NO,-0.15
O.Nc1ccccc1[N+](=O)[O-],-1.96
c1ccccc1.CC(=O)C(C(=O)c1ccccc1)C(=O)c1ccccc1,-1.43
CC(C)=O.CC(=O)N(CCC(=O)O)C(C)C(=O)O,-0.76
CC(C)=O.CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,-0.08
CC(C)=O.NC(=O)c1ccc(O)cc1,-0.91
CC(C)=O.c1ccc2c(c1)Cc1ccccc1-2,-0.03
CCO.O=C(N1CCCCC1)N(c1ccccc1)c1ccccc1,-0.81
O.c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87
c1ccccc1.Nc1ccc2c(c1)Cc1cc(Br)ccc1-2,-1.02
CC(C)=O.O=[N+]([O-])c1ccc(O)cc1Br,-1.92
O.CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
CCO.O=C(O)c1ccc(O)cc1,0.30
CCO.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-1.58
O.NCCC(=O)O,1.00
CCO.CC1(C)COP(=O)(NCCNP2(=O)OCC(C)(C)CO2)OC1,-2.13
O.COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,-4.11
c1ccccc1.c1ccc(/N=N/c2ccccc2)cc1,0.23
CCO.CCCCCCC(CCC)(CCC)C(=O)NO,0.00
O.O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61
O.Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.00
O.CCCCCCCCBr,-5.06
O.CCNc1nc(NC(C)C)nc(SC)n1,-3.04
CCO.O=C(Oc1ccccc1)Oc1ccccc1,-0.64
c1ccccc1.O=C1CCCCCN1,0.56
O.CCNc1nc(NC(C)C)nc(OC)n1,-2.08
CC(C)=O.Oc1c(Br)cc(Br)c2cccnc12,-1.81
CCO.COC(=O)C12CCC(C)C(C)C1C1=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2,-0.95
CC(C)=O.CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1,-3.85
CC(C)=O.O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O,-2.84
O.CN(N=O)C(N)=O,-0.85
CCO.O=C(O)c1ccco1,0.55
CCO.O=C1C(=Cc2ccco2)COCC1=Cc1ccco1,-2.41
O.CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CCO.O=C(O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,-2.12
O.Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,-4.34
CCO.CC(C)(C)OC(=O)NC(N)=O,-1.35
O.O=C(Nc1ccccc1)c1ccccc1O,-3.59
CC(C)=O.Cc1ccc(NC(N)=O)cc1,-0.75
CCO.CCCCS(=O)(=O)NNC(=O)C(O)(c1ccccc1)c1ccccc1,-0.30
CCO.CC(=O)Nc1ccccc1C(=O)O,-0.57
O.CCC=O,0.58
O.CC(C)CCO,-0.52
c1ccccc1.N#CC(c1ccccc1)=[N+]([O-])c1ccccc1,-0.50
CCO.CCCOC(=O)c1cc(O)c(O)c(O)c1,0.58
O.Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-5.49
c1ccccc1.Cc1c2ccccc2c(C)c2ccccc12,-0.85
CC(C)=O.CC(=O)Nc1ccc(O)cc1,-0.29
O.CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.36
c1ccccc1.N#CSC(Br)C(Br)SC#N,-1.09
c1ccccc1.CCCCCC(CC)=NNC(N)=O,-0.47
O.NC(N)=O,0.96
CCO.Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.89
CC(C)=O.O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],-0.89
CCO.CC(CO)[C@@H](O)C(=O)N[C@@H]1C2CC[C@@](C)([C@@H]1O)C2(C)C,-0.36
CCO.OC(c1ccccc1)(c1ccccc1)C(c1ccccc1)c1ccccc1,-2.89
CCO.NCCCCCCCCNCCCCCCCCCCC(=O)O,-2.17
CCO.O=C(O)c1ccccc1O,0.36
CC(C)=O.Cc1ccc(C)c([N+](=O)[O-])c1[N+](=O)[O-],0.18
c1ccccc1.COc1cc(=O)c(C)c2oc(-c3ccccc3)ccc1-2,-1.69
c1ccccc1.CC(=O)[C@H]1C[C@@H](CC(=O)O)C1(C)C,0.69
O.ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,-6.56
CC(C)=O.CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CC(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C,-1.67
CC(C)=O.O=C(O)c1cccnc1,-1.50
CC(C)=O.O=C(O)c1cccc(Br)c1,0.02
c1ccccc1.Oc1ccc(/N=N/c2ccccc2)cc1,-1.14
O.COc1ccccc1[N+](=O)[O-],-1.96
c1ccccc1.CCOC(=O)C(C#N)=NNc1ccc([N+](=O)[O-])cc1,-1.77
CCO.O=C(N/N=C/[C@@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O)c1ccncc1,-2.06
CCO.N[C@@H](CO)C(=O)O,-3.75
O.CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
O.CNC(=O)C(C)SCCSP(=O)(OC)OC,1.14
CCO.CCCCCCCCCCCCCCCCCC(=O)OCCO,-1.00
O.Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,-3.70
c1ccccc1.COc1ccc(N=Nc2ccc(O)cc2)cc1,-1.10
c1ccccc1.O=[N+]([O-])c1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1,-0.99
c1ccccc1.Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,-3.33
CCO.CCC(CC)OC(=O)NC(N)=O,-1.24
CCO.CCCCCCCCCCCCCCCCCC(=O)Nc1ccccc1,-2.38
O.NC(=O)N1c2ccccc2C=Cc2ccccc21,-3.08
CC(C)=O.[N-]=[N+]=NC(=O)c1ccccc1,0.86
CC(C)=O.COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,0.11
CC(C)=O.COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@@H]3C(=O)OC[C@H]32)ccc1O,-0.95
CCO.c1ccc(-c2ccccc2)cc1,-0.23
O.OCC(CO)(CO)CO,-0.44
CC(C)=O.CC(=O)Nc1cccc(C(=O)O)c1,-1.66
CCO.Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-2.53
CCO.CCOC(=O)C(OC(C)=O)C(OC(C)=O)C(=O)OCC,0.60
CCO.Clc1nc(Cl)nc(Oc2ccc(/N=N/c3ccccc3)cc2)n1,-2.32
O.NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,-3.02
c1ccccc1.N#C/C(c1ccccc1)=[N+](\[O-])c1ccc(Cl)cc1,-0.27
CC(C)=O.CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,-2.50
CC(C)=O.CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,-2.00
O.N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-1.53
O.Oc1cccnc1,-0.46
O.O=C(OCC(=O)N1CCC1)c1ccccc1,-1.61
c1ccccc1.CC1OC(C)OC(C)OC(C)O1,-2.17
O.C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79
O.Clc1cc(Cl)cc(Cl)c1,-4.54
O.CN1CCCC1=O,1.00
O.CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.84
O.NNC(=O)c1ccncc1,0.01
c1ccccc1.O=C(c1ccccc1)c1cccc2cccc(C(=O)c3ccccc3)c12,-1.06
c1ccccc1.C(=C/c1ccccc1)\c1ccccc1,-0.25
CCO.O=C(O)c1ccc([N+](=O)[O-])cc1,-0.86
CCO.CC1=C(C(=O)O)CCC1(C)C,0.13
O.CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41
O.O=C(COC(=O)c1ccccc1)NC(CO)(CO)CO,-1.27
O.Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-2.82
O.CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05
O.O=C(O)c1cccc([N+](=O)[O-])c1,-1.72
O.CC1CCC(C)(C)C1,-4.48
CCO.NCCCCNCCCCCCCCCCC(=O)O,-2.53
O.COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,-3.52
CC(C)=O.O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,-0.60
O.CCCCN(CC)C(=O)SCCC,-3.38
CC(C)=O.CC(=O)CC1=C(C(C)(C)C2C(=O)O[C@H](C)C2=O)C(=O)O[C@@H]1C,-0.64
CC(C)=O.O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,-1.04
O.O=S(=O)(O)c1ccc2ccccc2c1,-1.26
CC(C)=O.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-1.92
CC(C)=O.COc1cc(/C=C/C(=O)C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,-0.86
O.O=S(=O)(c1ccccc1O)c1ccccc1O,-3.32
c1ccccc1.CCC/C=C\C(N)=O,0.65
O.COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,-2.08
O.CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.55
O.COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
c1ccccc1.O=C1C(=Cc2ccc(O)cc2)CCCC1=Cc1ccc(O)cc1,-3.49
c1ccccc1.COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,0.46
O.NS(=O)(=O)c1cc2c(s1)C(=O)CCS2,-3.49
CCO.O=C(O)Cc1ccc2c(c1)OCO2,-0.26
O.CCCCc1c(C)nc(NCC)[nH]c1=O,-3.02
c1ccccc1.CCCCCCCCC(C(=O)O)C(=O)O,-3.27
c1ccccc1.C/C=C(/C)C(N)=O,-1.52
c1ccccc1.O=C1CCCCCCCCN1,-0.47
O.O=C1CCC(=O)N1,0.30
O.CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-6.64
CCO.CCOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-1.29
CC(C)=O.NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,-0.77
O.c1ccc(CCc2ccccc2)cc1,-4.62
CCO.O=Cc1ccc(I)o1,-0.87
c1ccccc1.CCCC1(CCC)C(=O)NC(=O)NC1=O,-2.07
CC(C)=O.CO/C=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1,-0.17
CC(C)=O.CCC12SC3S[C@](CC)(S1)S[C@@](CC)(S3)S2,-1.44
O.c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.79
CCO.Nc1ccc(S(=O)(=O)NNC(=O)C(O)(c2ccccc2)c2ccccc2)cc1,-1.96
CCO.CN(C)CC(=O)O,0.09
CCO.Cc1c(Br)c(Br)c(Br)c(Br)c1Br,-3.67
O.C1CCNC1,1.15
O.CC(N)=O,1.58
O.NS(=O)(=O)c1nc2ccc(O)cc2s1,-2.50
O.CC(C)N(C(=O)COC(=O)c1ccccc1)C(C)C,-3.34
CC(C)=O.NNC(=O)c1ccncc1,-0.89
CCO.O=C1OC(Nc2cccc([N+](=O)[O-])c2)(Nc2cccc([N+](=O)[O-])c2)c2ccccc21,-1.42
CC(C)=O.N#CCCN(CCC#N)CC(=O)O,0.27
O.OCCN(CCO)c1ccccc1,-0.73
CC(C)=O.O=C(Nc1ccc(NC(=O)c2ccccc2)nc1)c1ccccc1,-2.20
O.CC(=O)C(C)(C)C,-0.72
CCO.CCCCCCCCCCCCC1SC(N)=NC1=O,-2.03
O.CCCCCCCCCCCCCC,-7.96
CC(C)=O.Cc1cc(C)cc(C(=O)O)c1,-0.19
c1ccccc1.C/C(=C/C(=O)O)c1ccc(C)cc1,-0.23
CC(C)=O.O=C(O)c1ccccc1O,0.38
CCO.CCOC(=O)c1c(C)oc2cc3c(C(=O)OCC)c(C)oc3cc12,-3.82
O.C=CCCCCCCC,-5.05
CC(C)=O.O=C(Nc1ccc(NC(=O)c2ccccc2)c2c1C1c3ccccc3C2c2ccccc21)c1ccccc1,-1.99
CCO.C=C(C)C1CC(=O)C(C)C(=O)C1,-0.28
CCO.CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.56
O.Cc1ccc(-c2ccccc2)cc1,-4.62
O.OCCO,0.08
O.O=P1(N(CCCl)CCCl)NCCCO1,-0.81
O.CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-4.70
c1ccccc1.COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,-0.35
O.CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,-5.68
CC(C)=O.O=C(O)c1ccc(Cl)cc1,-0.80
O.Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32
CC(C)=O.O=C(O)C[C@@H](O)CCC1=CCCC1=O,-0.96
O.Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22
O.CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-4.53
O.COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],-5.91
c1ccccc1.COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C[C@H](C(C)C)O4,-0.80
CCO.CCc1occc(=O)c1O,0.14
CCO.Nc1c2ccccc2nc2ccc(F)cc12,-0.78
O.Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.59
CCO.Nc1ccccc1[N+](=O)[O-],0.20
CCO.O=S1CCS(=O)CC1,-0.83
CCO.NC(=O)N=Nc1cccc(C(N)=O)c1,-1.54
O.CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.31
CCO.CCCCCCCC[C@@H](O)[C@@H](CCCCCCCCCCCC(=O)O)[N+](=O)[O-],-0.34
c1ccccc1.O=C1C=Cc2ccccc2C1=NO,-0.38
O.CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89
CCO.CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0.17
O.COc1cc(C=O)ccc1O,-1.15
CCO.CCCCCCCCCCCCCCCCC1SC(N)=NC1=O,-3.69
O.COP(=S)(OC)SCC(=O)N(C)C=O,-2.00
O.CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.23
O.C=CC(=O)OC,-0.22
c1ccccc1.Cc1ccc(O)cc1O,-1.28
O.Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.28
O.CCCCCCCBr,-4.43
O.Oc1ccncc1,1.02
CC(C)=O.CC(=O)Nc1ccccc1C(=O)O,-0.70
c1ccccc1.OC(CCC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,-3.11
CCO.N[C@@H](Cc1c[nH]cn1)C(=O)O,-3.19
O.CC(C)CNC(=O)N1CCNC1=O,-2.15
CC(C)=O.CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,0.41
CCO.c1ccc2c(c1)Nc1ccccc1S2,-1.04
CC(C)=O.N#C/C(N)=C(/N)C#N,0.14
c1ccccc1.CC12CCC(C(C(=O)c3ccccc3)C1=O)C2(C)C,-0.24
CCO.COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-0.27
c1ccccc1.CN(C)c1ccc(C(=NC(=O)c2ccccc2)c2ccc(N(C)C)cc2)cc1,-1.60
c1ccccc1.COc1cc2c(cc1OC)C(C(=O)c1ccc3c(c1O)C[C@H](C(C)C)O3)CCO2,-0.41
O.NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.32
CCO.O=C1NS(=O)(=O)c2ccccc21,-1.06
O.C=CC(N)=O,0.97
CCO.C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12,-0.86
CC(C)=O.O=C(NCCCCCCNC(=O)OCCCCO)OCCCCO,-1.84
O.CN(C)C(=O)CCCOC(=O)c1ccccc1,-1.23
O.CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,-4.24
CC(C)=O.Cc1ccc(C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)c2ccc(C)cc2)C(=O)O)cc1,0.01
CCO.CCC(C(=O)O)c1ccccc1,0.79
O.CCOC=O,0.15
O.N#CN=C(N)N,-0.31
CCO.CO[C@H]1O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@H]1O,-0.36
O.CCCCCCCCCCCCCCCO,-6.35
O.CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89
c1ccccc1.N#CSC=CSC#N,-0.70
O.COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.34
CCO.COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OC)c1,-3.22
CCO.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-1.74
c1ccccc1.CC1(c2ccccc2)C(=O)NC(=O)NC1=O,-3.18
c1ccccc1.CC(C)(C)c1ccc(O)c(N=Nc2ccccc2)c1,0.65
CC(C)=O.CCCCCCCCCC/C=C/C(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-3.84
CC(C)=O.O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,-0.09
CCO.COc1ccccc1OCC(O)COC(N)=O,-1.13
CC(C)=O.CCOC(=O)C1=C(C)/C(=C/c2[nH]c(C)c(C(=O)OCC)c2C)N=C1C,-2.24
CCO.CCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,-2.04
CCO.[N-]=[N+]=NC(=O)c1ccccc1,0.01
c1ccccc1.CCCCCCC/C=C/C(N)=O,-1.43
CC(C)=O.O=C(O)Cc1ccc(O)cc1,0.58
c1ccccc1.CCC(CC)(Cc1ccc(C)cc1)C(=O)NO,-1.52
CCO.CC(C)CC(N)C(=O)O,-2.98
O.C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
CCO.COc1cc(/C=C/C(=O)O)cc(OC)c1O,-0.10
c1ccccc1.O=Cc1ccc([N+](=O)[O-])cc1,-0.28
CCO.CCOC1(C(Br)c2ccccc2)NC(=O)N(C)C1=O,-1.71
O.Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55
O.Cc1cnc(S)nc1O,-2.45
CCO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CS,-1.07
O.COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.09
CCO.CC(C)COC(=O)c1ccc(N=Nc2ccc(N)cc2N)cc1,-0.69
CCO.O=C(O)C=CC(=O)O,0.53
CCO.ClC1CCCCC1SC1CCCCC1Cl,-0.73
O.CC(C)(S)C(N)C(=O)O,-0.13
c1ccccc1.O=S(=O)(Cl)c1cc(S(=O)(=O)Cl)c2cc(S(=O)(=O)Cl)ccc2c1,-1.76
CCO.O=[N+]([O-])c1ccccc1[N+](=O)[O-],-2.75
O.CN(C)NC(=O)CCC(=O)O,-0.20
O.NC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,-1.04
CCO.O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,-0.28
c1ccccc1.ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,-0.11
CCO.O=C(NCCCCCCNC(=O)OCCCCO)OCCCCO,-0.81
O.CCCCCCCCCCCCCCCC(=O)O,-6.81
CCO.c1ccc(N=Nc2ccc(Nc3ccccc3)cc2)cc1,0.07
O.CCOC(=O)CC(=O)OCC,-0.82
O.CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,-2.94
O.Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2,-9.00
CC(C)=O.CCOc1ccc(NC(C)=O)cc1,-0.33
c1ccccc1.CC/C(=C/C(=O)O)c1ccccc1,0.03
CCO.CCOC(=O)/C=C/C=C/C(=O)OCC,-0.41
O.O=[N+]([O-])c1cc[n+]([O-])cc1,-0.69
O.COc1ccc2[nH]cc(CCNC(C)=O)c2c1,-5.09
c1ccccc1.CC1(C)C2CC[C@@]1(C)C(N=Cc1ccccc1)C2,-1.08
CCO.CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,-0.58
c1ccccc1.CCOc1ccc2nc3cc([N+](=O)[O-])ccc3c(Cl)c2c1,-1.70
CC(C)=O.CC(=O)Nc1ccccc1,0.36
c1ccccc1.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-1.44
CC(C)=O.Nc1ccc(C(=O)O)c(O)c1,-0.06
O.NNc1ccccc1,0.07
O.CCCCCCCCCCCCCCCCCCCC,-8.17
CCO.Nc1cccc(N)n1,0.54
CC(C)=O.O=C(O)c1ccccc1Cl,0.26
O.Cc1cccc2c1ccc1ccccc12,-5.85
c1ccccc1.c1ccc2c(c1)c1c3cccc4cccc(c43)c3c4ccccc4c4c5cccc6cccc(c65)c2c4c13,-1.41
